Program, File, Original Size, Compressed Size, Compression Ratio, Time, Nerdy Time
Adaptive Huffman,geo.dat,100.0 KB,71.4 KB,1.4008207934336525,317 ms,317
Adaptive Huffman,grammar.lsp,3.7 KB,2.4 KB,1.5278334000800962,158 ms,158
Adaptive Huffman,kennedy.xls,1005.6 KB,463.0 KB,2.1719608190538864,231 ms,231
Adaptive Huffman,lcet10.txt,416.8 KB,246.0 KB,1.693871556719854,216 ms,216
Adaptive Huffman,mr.dat,9.5 MB,4.4 MB,2.148994254298069,778 ms,778
Adaptive Huffman,news.dat,378.1 KB,250.0 KB,1.5120973883701039,213 ms,213
Adaptive Huffman,obj1.dat,21.0 KB,16.5 KB,1.2724260355029586,160 ms,160
Adaptive Huffman,obj2.dat,241.0 KB,196.5 KB,1.226539050231578,194 ms,194
Adaptive Huffman,ooffice.dat,5.9 MB,4.9 MB,1.205457700081217,695 ms,695
Adaptive Huffman,osdb.dat,9.6 MB,8.0 MB,1.208879924353341,1.72 s,1072
Adaptive Huffman,paper1.dat,53.1 KB,34.4 KB,1.5448015444892398,191 ms,191
Adaptive Huffman,paper2.dat,82.0 KB,48.6 KB,1.68713691277866,189 ms,189
Adaptive Huffman,pic.dat,501.2 KB,105.8 KB,4.738880322071303,264 ms,264
Adaptive Huffman,plrabn12.txt,470.6 KB,269.8 KB,1.744097494941744,234 ms,234
Adaptive Huffman,progc.dat,40.1 KB,27.0 KB,1.484218129288552,202 ms,202
Adaptive Huffman,progl.dat,72.2 KB,44.9 KB,1.6054667130192943,199 ms,199
Adaptive Huffman,progp.dat,50.1 KB,31.6 KB,1.5856031128404668,176 ms,176
Adaptive Huffman,ptt5,501.2 KB,105.8 KB,4.738880322071303,229 ms,229
Adaptive Huffman,reymont.dat,6.3 MB,3.8 MB,1.6417444718844656,619 ms,619
Adaptive Huffman,samba.dat,20.6 MB,15.1 MB,1.3672305222773262,1.771 s,1771
Adaptive Huffman,sao.dat,6.9 MB,6.5 MB,1.060587633265503,955 ms,955
Adaptive Huffman,sum,37.3 KB,27.9 KB,1.3403434980722047,186 ms,186
Adaptive Huffman,trans.dat,91.5 KB,65.2 KB,1.404112155134949,181 ms,181
Adaptive Huffman,x-ray.dat,8.1 MB,6.5 MB,1.2364481879558125,973 ms,973
Adaptive Huffman,xargs.1,4.2 KB,2.9 KB,1.473845108695652,168 ms,168
Adaptive Huffman,xml.dat,5.1 MB,3.5 MB,1.4720743263581688,534 ms,534
Adaptive Huffman,Average, , ,1.7193104117267575,403 ms,403.0882352941176
DEFLATE,alice29.txt,148.5 KB,53.1 KB,2.794931637753602,239 ms,239
DEFLATE,asyoulik.txt,126.3 KB,48.2 KB,2.6200279629592105,87 ms,87
DEFLATE,bib.dat,114.8 KB,35.4 KB,3.2411339694445975,41 ms,41
DEFLATE,book1.dat,750.8 KB,306.2 KB,2.4514850411678797,138 ms,138
DEFLATE,book2.dat,611.8 KB,204.9 KB,2.98640010296452,120 ms,120
DEFLATE,cp.html,24.7 KB,7.8 KB,3.1504866483653604,31 ms,31
DEFLATE,dickens.dat,9.7 MB,3.7 MB,2.6325872768326444,1.445 s,1445
DEFLATE,fields.c,11.3 KB,3.1 KB,3.667194426852438,28 ms,28
DEFLATE,geo.dat,100.0 KB,66.8 KB,1.496091752502009,104 ms,104
DEFLATE,grammar.lsp,3.7 KB,1.2 KB,3.0642570281124497,29 ms,29
DEFLATE,kennedy.xls,1005.6 KB,199.2 KB,5.04766573204447,120 ms,120
DEFLATE,lcet10.txt,416.8 KB,141.5 KB,2.9448370090259184,82 ms,82
DEFLATE,mr.dat,9.5 MB,3.5 MB,2.712375267039595,1.288 s,1288
DEFLATE,news.dat,378.1 KB,143.1 KB,2.6412705343011518,71 ms,71
DEFLATE,obj1.dat,21.0 KB,10.1 KB,2.0819053151321523,32 ms,32
DEFLATE,obj2.dat,241.0 KB,79.6 KB,3.0277610805108135,59 ms,59
DEFLATE,ooffice.dat,5.9 MB,3.0 MB,1.9863042269636904,831 ms,831
DEFLATE,osdb.dat,9.6 MB,3.5 MB,2.7294146810630706,949 ms,949
DEFLATE,paper1.dat,53.1 KB,18.4 KB,2.895280157505454,33 ms,33
DEFLATE,paper2.dat,82.0 KB,29.4 KB,2.7862430700793412,39 ms,39
DEFLATE,pic.dat,501.2 KB,55.2 KB,9.087168227774137,62 ms,62
DEFLATE,plrabn12.txt,470.6 KB,190.7 KB,2.467627372959907,104 ms,104
DEFLATE,progc.dat,40.1 KB,13.1 KB,3.0553862166381682,31 ms,31
DEFLATE,progl.dat,72.2 KB,16.0 KB,4.513744654856445,36 ms,36
DEFLATE,progp.dat,50.1 KB,11.1 KB,4.524984577421344,80 ms,80
DEFLATE,ptt5,501.2 KB,55.2 KB,9.087168227774137,61 ms,61
DEFLATE,reymont.dat,6.3 MB,1.8 MB,3.5613211577514545,924 ms,924
DEFLATE,samba.dat,20.6 MB,5.2 MB,3.963446568112474,1.556 s,1556
DEFLATE,sao.dat,6.9 MB,5.1 MB,1.3601277314593485,1.74 s,1074
DEFLATE,sum,37.3 KB,12.7 KB,2.9410859867712658,33 ms,33
DEFLATE,trans.dat,91.5 KB,18.6 KB,4.916566091200084,176 ms,176
DEFLATE,x-ray.dat,8.1 MB,5.8 MB,1.401829472952521,1.36 s,1036
DEFLATE,xargs.1,4.2 KB,1.7 KB,2.436271757439641,26 ms,26
DEFLATE,xml.dat,5.1 MB,671.9 KB,7.769200693595578,321 ms,321
DEFLATE,Average, , ,3.4718700487449086,331 ms,331.94117647058823
Razor,alice29.txt,148.5 KB,45.6 KB,3.2536582235153175,303 ms,303
Razor,asyoulik.txt,126.3 KB,42.3 KB,2.986994086120865,238 ms,238
Razor,bib.dat,114.8 KB,29.1 KB,3.9447539773108677,216 ms,216
Razor,book1.dat,750.8 KB,238.1 KB,3.1524967091908915,1.206 s,1206
Razor,book2.dat,611.8 KB,155.6 KB,3.931756421762133,902 ms,902
Razor,cp.html,24.7 KB,8.0 KB,3.0640776699029124,97 ms,97
Razor,dickens.dat,9.7 MB,2.4 MB,3.9866473496917445,22.127 s,22127
Razor,fields.c,11.3 KB,3.1 KB,3.5921215880893302,94 ms,94
Razor,geo.dat,100.0 KB,52.1 KB,1.9188966344351999,216 ms,216
Razor,grammar.lsp,3.7 KB,1.4 KB,2.623796423658872,82 ms,82
Razor,kennedy.xls,1005.6 KB,47.9 KB,21.012610700730523,1.434 s,1434
Razor,lcet10.txt,416.8 KB,108.6 KB,3.83578413748472,622 ms,622
Razor,mr.dat,9.5 MB,2.0 MB,4.7964643830950795,12.25 s,12025
Razor,news.dat,378.1 KB,113.0 KB,3.3450373237489632,543 ms,543
Razor,obj1.dat,21.0 KB,9.4 KB,2.237203495630462,99 ms,99
Razor,obj2.dat,241.0 KB,59.9 KB,4.020688756393966,361 ms,361
Razor,ooffice.dat,5.9 MB,1.8 MB,3.2245156170808036,8.687 s,8687
Razor,osdb.dat,9.6 MB,2.3 MB,4.184837352192108,13.314 s,13314
Razor,paper1.dat,53.1 KB,17.2 KB,3.0946991241041975,139 ms,139
Razor,paper2.dat,82.0 KB,26.3 KB,3.1135925211455704,173 ms,173
Razor,pic.dat,501.2 KB,41.1 KB,12.183169139465875,831 ms,831
Razor,plrabn12.txt,470.6 KB,151.3 KB,3.1103257747397093,756 ms,756
Razor,progc.dat,40.1 KB,12.6 KB,3.1878684455476263,119 ms,119
Razor,progl.dat,72.2 KB,14.4 KB,5.008812364425163,157 ms,157
Razor,progp.dat,50.1 KB,10.2 KB,4.893728555089592,131 ms,131
Razor,ptt5,501.2 KB,41.1 KB,12.183747596325048,818 ms,818
Razor,reymont.dat,6.3 MB,1.0 MB,6.168953618366855,11.939 s,11939
Razor,samba.dat,20.6 MB,3.3 MB,6.318970804181335,28.519 s,28519
Razor,sao.dat,6.9 MB,4.2 MB,1.666141073061034,10.404 s,10404
Razor,sum,37.3 KB,10.1 KB,3.7090203685742,117 ms,117
Razor,trans.dat,91.5 KB,16.5 KB,5.559214429808947,183 ms,183
Razor,x-ray.dat,8.1 MB,3.5 MB,2.2965121320915065,8.868 s,8868
Razor,xargs.1,4.2 KB,2.0 KB,2.1269607843137255,75 ms,75
Razor,xml.dat,5.1 MB,385.3 KB,13.5491279077136,6.208 s,6208
Razor,Average, , ,4.9200936908526085,3.882 s,3882.4411764705883
WinRAR m1,alice29.txt,148.5 KB,62.4 KB,2.379439281579524,224 ms,224
WinRAR m1,asyoulik.txt,126.3 KB,54.9 KB,2.2990522928112944,84 ms,84
WinRAR m1,bib.dat,114.8 KB,41.7 KB,2.7534262621529813,68 ms,68
WinRAR m1,book1.dat,750.8 KB,351.1 KB,2.138147684605757,83 ms,83
WinRAR m1,book2.dat,611.8 KB,238.8 KB,2.561901685197983,78 ms,78
WinRAR m1,cp.html,24.7 KB,8.7 KB,2.8458070333633905,66 ms,66
WinRAR m1,dickens.dat,9.7 MB,4.2 MB,2.2909464597862312,219 ms,219
WinRAR m1,fields.c,11.3 KB,3.6 KB,3.1453014665942423,63 ms,63
WinRAR m1,geo.dat,100.0 KB,61.8 KB,1.6168250860517257,69 ms,69
WinRAR m1,grammar.lsp,3.7 KB,1.4 KB,2.715302491103203,64 ms,64
WinRAR m1,kennedy.xls,1005.6 KB,129.0 KB,7.796483895879708,82 ms,82
WinRAR m1,lcet10.txt,416.8 KB,164.4 KB,2.5355689305851805,81 ms,81
WinRAR m1,mr.dat,9.5 MB,3.4 MB,2.7605809129779555,222 ms,222
WinRAR m1,news.dat,378.1 KB,150.5 KB,2.513082480316238,76 ms,76
WinRAR m1,obj1.dat,21.0 KB,10.3 KB,2.0433295324971494,65 ms,65
WinRAR m1,obj2.dat,241.0 KB,83.2 KB,2.8965039724918142,74 ms,74
WinRAR m1,ooffice.dat,5.9 MB,3.0 MB,1.9784576101672569,206 ms,206
WinRAR m1,osdb.dat,9.6 MB,3.7 MB,2.578233008909575,256 ms,256
WinRAR m1,paper1.dat,53.1 KB,21.0 KB,2.5268657409557425,64 ms,64
WinRAR m1,paper2.dat,82.0 KB,34.5 KB,2.377014358945311,65 ms,65
WinRAR m1,pic.dat,501.2 KB,57.0 KB,8.798793032505829,72 ms,72
WinRAR m1,plrabn12.txt,470.6 KB,219.2 KB,2.1462881220797385,75 ms,75
WinRAR m1,progc.dat,40.1 KB,14.9 KB,2.698489822718319,67 ms,67
WinRAR m1,progl.dat,72.2 KB,19.0 KB,3.7983858530817867,68 ms,68
WinRAR m1,progp.dat,50.1 KB,12.8 KB,3.915579958819492,68 ms,68
WinRAR m1,ptt5,501.2 KB,57.0 KB,8.799245606515216,73 ms,73
WinRAR m1,reymont.dat,6.3 MB,2.2 MB,2.926277453160897,183 ms,183
WinRAR m1,samba.dat,20.6 MB,5.3 MB,3.8792029306596785,326 ms,326
WinRAR m1,sao.dat,6.9 MB,5.1 MB,1.349546125077392,261 ms,261
WinRAR m1,sum,37.3 KB,13.3 KB,2.799004538134973,128 ms,128
WinRAR m1,trans.dat,91.5 KB,21.5 KB,4.246317697711308,100 ms,100
WinRAR m1,x-ray.dat,8.1 MB,5.5 MB,1.4813460393819917,325 ms,325
WinRAR m1,xargs.1,4.2 KB,1.9 KB,2.2081424936386767,76 ms,76
WinRAR m1,xml.dat,5.1 MB,854.9 KB,6.105897794110088,163 ms,163
WinRAR m1,Average, , ,3.2324937545461068,123 ms,123.3529411764706
WinRAR m2,alice29.txt,148.5 KB,50.8 KB,2.926026395782831,110 ms,110
WinRAR m2,asyoulik.txt,126.3 KB,46.8 KB,2.699225518234766,101 ms,101
WinRAR m2,bib.dat,114.8 KB,33.1 KB,3.467984656240779,152 ms,152
WinRAR m2,book1.dat,750.8 KB,276.6 KB,2.713829828543591,142 ms,142
WinRAR m2,book2.dat,611.8 KB,182.3 KB,3.355363579397257,112 ms,112
WinRAR m2,cp.html,24.7 KB,7.9 KB,3.11819192293442,80 ms,80
WinRAR m2,dickens.dat,9.7 MB,3.1 MB,3.150392514559728,670 ms,670
WinRAR m2,fields.c,11.3 KB,3.1 KB,3.6044195455960164,80 ms,80
WinRAR m2,geo.dat,100.0 KB,61.9 KB,1.616365702740245,121 ms,121
WinRAR m2,grammar.lsp,3.7 KB,1.3 KB,2.8238341968911915,88 ms,88
WinRAR m2,kennedy.xls,1005.6 KB,90.8 KB,11.075612536838255,124 ms,124
WinRAR m2,lcet10.txt,416.8 KB,126.1 KB,3.3043283004258615,98 ms,98
WinRAR m2,mr.dat,9.5 MB,3.1 MB,3.061656806150972,491 ms,491
WinRAR m2,news.dat,378.1 KB,126.0 KB,3.0011627366169016,97 ms,97
WinRAR m2,obj1.dat,21.0 KB,9.7 KB,2.1651228352799032,66 ms,66
WinRAR m2,obj2.dat,241.0 KB,71.1 KB,3.3923058949654328,81 ms,81
WinRAR m2,ooffice.dat,5.9 MB,2.6 MB,2.2460034470257995,413 ms,413
WinRAR m2,osdb.dat,9.6 MB,3.2 MB,3.0415266131362118,521 ms,521
WinRAR m2,paper1.dat,53.1 KB,18.1 KB,2.937483129082762,89 ms,89
WinRAR m2,paper2.dat,82.0 KB,28.8 KB,2.850883152173913,73 ms,73
WinRAR m2,pic.dat,501.2 KB,50.7 KB,9.890841813135985,81 ms,81
WinRAR m2,plrabn12.txt,470.6 KB,175.3 KB,2.6840885670519428,86 ms,86
WinRAR m2,progc.dat,40.1 KB,13.1 KB,3.063357185450209,72 ms,72
WinRAR m2,progl.dat,72.2 KB,15.8 KB,4.578634279340687,68 ms,68
WinRAR m2,progp.dat,50.1 KB,10.8 KB,4.653765974802864,73 ms,73
WinRAR m2,ptt5,501.2 KB,50.7 KB,9.891413703382481,158 ms,158
WinRAR m2,reymont.dat,6.3 MB,1.6 MB,3.9909608425626883,354 ms,354
WinRAR m2,samba.dat,20.6 MB,4.1 MB,4.9864885417433555,725 ms,725
WinRAR m2,sao.dat,6.9 MB,4.8 MB,1.4464472312947219,575 ms,575
WinRAR m2,sum,37.3 KB,11.6 KB,3.2069775243206977,141 ms,141
WinRAR m2,trans.dat,91.5 KB,17.9 KB,5.1216245763638355,67 ms,67
WinRAR m2,x-ray.dat,8.1 MB,5.1 MB,1.5847272079894619,634 ms,634
WinRAR m2,xargs.1,4.2 KB,1.8 KB,2.3104366347177847,71 ms,71
WinRAR m2,xml.dat,5.1 MB,509.1 KB,10.253435536219873,221 ms,221
WinRAR m2,Average, , ,3.9474976156174533,206 ms,206.91176470588235
WinRAR m3,alice29.txt,148.5 KB,50.1 KB,2.963715727731551,78 ms,78
WinRAR m3,asyoulik.txt,126.3 KB,46.1 KB,2.7361237488626022,76 ms,76
WinRAR m3,bib.dat,114.8 KB,32.6 KB,3.518335578506212,99 ms,99
WinRAR m3,book1.dat,750.8 KB,270.7 KB,2.7738244717700034,114 ms,114
WinRAR m3,book2.dat,611.8 KB,178.8 KB,3.4213299984162786,98 ms,98
WinRAR m3,cp.html,24.7 KB,7.9 KB,3.135229107165032,68 ms,68
WinRAR m3,dickens.dat,9.7 MB,3.0 MB,3.262814758852943,1.196 s,1196
WinRAR m3,fields.c,11.3 KB,3.1 KB,3.6247261345852895,60 ms,60
WinRAR m3,geo.dat,100.0 KB,61.0 KB,1.6386884091600122,73 ms,73
WinRAR m3,grammar.lsp,3.7 KB,1.3 KB,2.836431226765799,82 ms,82
WinRAR m3,kennedy.xls,1005.6 KB,38.8 KB,25.937482683055844,91 ms,91
WinRAR m3,lcet10.txt,416.8 KB,124.0 KB,3.3608763791867817,88 ms,88
WinRAR m3,mr.dat,9.5 MB,2.7 MB,3.575856408615856,491 ms,491
WinRAR m3,news.dat,378.1 KB,124.2 KB,3.045018403749961,92 ms,92
WinRAR m3,obj1.dat,21.0 KB,9.6 KB,2.1840341255332114,64 ms,64
WinRAR m3,obj2.dat,241.0 KB,69.6 KB,3.461724031529636,78 ms,78
WinRAR m3,ooffice.dat,5.9 MB,2.2 MB,2.6668019098768725,510 ms,510
WinRAR m3,osdb.dat,9.6 MB,3.1 MB,3.063174874011369,747 ms,747
WinRAR m3,paper1.dat,53.1 KB,18.0 KB,2.9580841578775687,62 ms,62
WinRAR m3,paper2.dat,82.0 KB,28.4 KB,2.882508500188893,68 ms,68
WinRAR m3,pic.dat,501.2 KB,48.7 KB,10.295825225189079,84 ms,84
WinRAR m3,plrabn12.txt,470.6 KB,172.1 KB,2.7341182478438495,101 ms,101
WinRAR m3,progc.dat,40.1 KB,13.0 KB,3.0910048134777375,62 ms,62
WinRAR m3,progl.dat,72.2 KB,15.5 KB,4.643665158371041,66 ms,66
WinRAR m3,progp.dat,50.1 KB,10.7 KB,4.703646024184683,65 ms,65
WinRAR m3,ptt5,501.2 KB,48.7 KB,10.296444908113314,90 ms,90
WinRAR m3,reymont.dat,6.3 MB,1.5 MB,4.237319757955202,595 ms,595
WinRAR m3,samba.dat,20.6 MB,4.0 MB,5.129056065579297,1.35 s,1035
WinRAR m3,sao.dat,6.9 MB,5.3 MB,1.308182081879987,627 ms,627
WinRAR m3,sum,37.3 KB,11.3 KB,3.3062424347224626,91 ms,91
WinRAR m3,trans.dat,91.5 KB,17.6 KB,5.195176046576102,69 ms,69
WinRAR m3,x-ray.dat,8.1 MB,3.9 MB,2.0480279649162494,563 ms,563
WinRAR m3,xargs.1,4.2 KB,1.8 KB,2.3190807055050775,62 ms,62
WinRAR m3,xml.dat,5.1 MB,490.2 KB,10.649559197091198,256 ms,256
WinRAR m3,Average, , ,4.500121449024912,235 ms,235.3235294117647
WinRAR m4,alice29.txt,148.5 KB,50.0 KB,2.9686328856964397,73 ms,73
WinRAR m4,asyoulik.txt,126.3 KB,46.1 KB,2.7392538609834123,75 ms,75
WinRAR m4,bib.dat,114.8 KB,32.6 KB,3.5242436055054123,77 ms,77
WinRAR m4,book1.dat,750.8 KB,269.5 KB,2.785957346572687,120 ms,120
WinRAR m4,book2.dat,611.8 KB,178.0 KB,3.436418388560082,102 ms,102
WinRAR m4,cp.html,24.7 KB,7.9 KB,3.1367871785314945,58 ms,58
WinRAR m4,dickens.dat,9.7 MB,2.9 MB,3.3207764907653092,1.783 s,1783
WinRAR m4,fields.c,11.3 KB,3.1 KB,3.623591989987484,60 ms,60
WinRAR m4,geo.dat,100.0 KB,61.0 KB,1.639501745172756,76 ms,76
WinRAR m4,grammar.lsp,3.7 KB,1.3 KB,2.836431226765799,64 ms,64
WinRAR m4,kennedy.xls,1005.6 KB,38.0 KB,26.42876575212381,103 ms,103
WinRAR m4,lcet10.txt,416.8 KB,123.6 KB,3.3708846761453395,90 ms,90
WinRAR m4,mr.dat,9.5 MB,2.7 MB,3.576963505555998,545 ms,545
WinRAR m4,news.dat,378.1 KB,124.0 KB,3.049815672558843,91 ms,91
WinRAR m4,obj1.dat,21.0 KB,9.6 KB,2.1840341255332114,67 ms,67
WinRAR m4,obj2.dat,241.0 KB,69.6 KB,3.46468829400452,75 ms,75
WinRAR m4,ooffice.dat,5.9 MB,2.2 MB,2.674092925306379,591 ms,591
WinRAR m4,osdb.dat,9.6 MB,3.1 MB,3.1095648785132077,1.76 s,1076
WinRAR m4,paper1.dat,53.1 KB,18.0 KB,2.9585666902289165,68 ms,68
WinRAR m4,paper2.dat,82.0 KB,28.4 KB,2.884886398790087,69 ms,69
WinRAR m4,pic.dat,501.2 KB,48.5 KB,10.32773227617572,84 ms,84
WinRAR m4,plrabn12.txt,470.6 KB,171.5 KB,2.7435987952013026,97 ms,97
WinRAR m4,progc.dat,40.1 KB,13.0 KB,3.092400300978179,78 ms,78
WinRAR m4,progl.dat,72.2 KB,15.5 KB,4.650387060230348,121 ms,121
WinRAR m4,progp.dat,50.1 KB,10.6 KB,4.709254333669632,68 ms,68
WinRAR m4,ptt5,501.2 KB,48.5 KB,10.328355805997182,89 ms,89
WinRAR m4,reymont.dat,6.3 MB,1.4 MB,4.388933628259977,965 ms,965
WinRAR m4,samba.dat,20.6 MB,4.0 MB,5.159685562556746,1.363 s,1363
WinRAR m4,sao.dat,6.9 MB,5.3 MB,1.308950423751605,633 ms,633
WinRAR m4,sum,37.3 KB,11.3 KB,3.30567081604426,73 ms,73
WinRAR m4,trans.dat,91.5 KB,17.6 KB,5.2006549733570155,85 ms,85
WinRAR m4,x-ray.dat,8.1 MB,3.9 MB,2.0481338920547514,492 ms,492
WinRAR m4,xargs.1,4.2 KB,1.8 KB,2.3190807055050775,60 ms,60
WinRAR m4,xml.dat,5.1 MB,481.9 KB,10.831170252214246,351 ms,351
WinRAR m4,Average, , ,4.533172543038154,288 ms,288.88235294117646
WinRAR m5,alice29.txt,148.5 KB,50.0 KB,2.9700242149664113,91 ms,91
WinRAR m5,asyoulik.txt,126.3 KB,46.1 KB,2.7402407493748147,116 ms,116
WinRAR m5,bib.dat,114.8 KB,32.5 KB,3.526675868691112,79 ms,79
WinRAR m5,book1.dat,750.8 KB,269.2 KB,2.7891412400682074,129 ms,129
WinRAR m5,book2.dat,611.8 KB,177.9 KB,3.438964945601458,106 ms,106
WinRAR m5,cp.html,24.7 KB,7.9 KB,3.1367871785314945,63 ms,63
WinRAR m5,dickens.dat,9.7 MB,2.9 MB,3.3395168921309852,2.173 s,2173
WinRAR m5,fields.c,11.3 KB,3.1 KB,3.623591989987484,62 ms,62
WinRAR m5,geo.dat,100.0 KB,61.0 KB,1.639501745172756,110 ms,110
WinRAR m5,grammar.lsp,3.7 KB,1.3 KB,2.836431226765799,73 ms,73
WinRAR m5,kennedy.xls,1005.6 KB,37.7 KB,26.65658814392959,99 ms,99
WinRAR m5,lcet10.txt,416.8 KB,123.6 KB,3.3727495455623173,92 ms,92
WinRAR m5,mr.dat,9.5 MB,2.7 MB,3.5775153856752473,606 ms,606
WinRAR m5,news.dat,378.1 KB,123.9 KB,3.050873100926685,92 ms,92
WinRAR m5,obj1.dat,21.0 KB,9.6 KB,2.1840341255332114,66 ms,66
WinRAR m5,obj2.dat,241.0 KB,69.6 KB,3.46468829400452,246 ms,246
WinRAR m5,ooffice.dat,5.9 MB,2.2 MB,2.6761681009151843,672 ms,672
WinRAR m5,osdb.dat,9.6 MB,3.1 MB,3.1281382775966984,1.223 s,1223
WinRAR m5,paper1.dat,53.1 KB,18.0 KB,2.9588884659307193,67 ms,67
WinRAR m5,paper2.dat,82.0 KB,28.4 KB,2.885084734110206,82 ms,82
WinRAR m5,pic.dat,501.2 KB,48.4 KB,10.346470979577848,91 ms,91
WinRAR m5,plrabn12.txt,470.6 KB,171.4 KB,2.7458814143659,104 ms,104
WinRAR m5,progc.dat,40.1 KB,13.0 KB,3.092400300978179,69 ms,69
WinRAR m5,progl.dat,72.2 KB,15.5 KB,4.653901870630472,72 ms,72
WinRAR m5,progp.dat,50.1 KB,10.6 KB,4.7114149385208295,68 ms,68
WinRAR m5,ptt5,501.2 KB,48.4 KB,10.347096774193549,101 ms,101
WinRAR m5,reymont.dat,6.3 MB,1.4 MB,4.451024772384741,1.202 s,1202
WinRAR m5,samba.dat,20.6 MB,4.0 MB,5.1699710782729085,1.610 s,1610
WinRAR m5,sao.dat,6.9 MB,5.3 MB,1.3092625989063276,657 ms,657
WinRAR m5,sum,37.3 KB,11.3 KB,3.3062424347224626,64 ms,64
WinRAR m5,trans.dat,91.5 KB,17.6 KB,5.201809904508106,66 ms,66
WinRAR m5,x-ray.dat,8.1 MB,3.9 MB,2.048191315083339,493 ms,493
WinRAR m5,xargs.1,4.2 KB,1.8 KB,2.3190807055050775,62 ms,62
WinRAR m5,xml.dat,5.1 MB,479.5 KB,10.88576351128435,297 ms,297
WinRAR m5,Average, , ,4.546591671306147,329 ms,329.5
